title,location,summary,salary
"newSoftware Engineer, II","Bengaluru, Karnataka+1 location","Synopsys Solutions Group is a leading provider of IP solutions for SoC designs.
We are looking for an Software Engineer to maintain, update and enhance the…",NA
newInfrastructure Developer- Common Design and Tools Environmen...,"Bengaluru, Karnataka",As a Software Developer in the Common Tools and Design Infrastructure domain that supports IBM Microprocessor Design Teams across different geographys.,NA
newData Analyst Trainer,"Hyderabad, Telangana+1 location","Deliver high quality training that follows company methodology, and matches to the skills required by the corporate clients using an Online Training platform.","₹7,00,000 a year"
Senior Software Development Engineer in Test,"Remote in New Delhi, Delhi","Speechify is hiring a quality obsessed Software Developer Engineer in Test (SDET) who will implement test automation solution across Speechify products (iOS,…",NA
newConsultant/ Sr. Consultant - IP (Computer Science),"Noida, Uttar Pradesh","Associate/Senior Associate will work on various projects such as Prior-art Searching (Patentability/Validity/Invalidity), Infringement Analysis, White Space…",NA
Systems Admin I (Windows),"Noida, Uttar Pradesh","As a System Administrator, you will have responsibilities to provide the Windows Level 1 Technical support .
Additional knowledge of VMWare is appreciated.",NA
newKernel Virtual machine (KVM) Tester on System z,"Remote in Bengaluru, Karnataka","We approach our testing with an automation-first mindset, designing and architecting our work to be consistent and reproduceable.
Libvirt and KVM are preferred.",NA
Data Scientist,"Bengaluru, Karnataka","You will be able to explore the full world of our business data platform to generate insights and derive actions.
Strong communication and client-facing skills.",NA
newGraduate Intern Technical,"Hybrid remote in Bengaluru, Karnataka","The data center is the underpinning for every data-driven service, from artificial intelligence to 5G to high-performance computing, and DCG delivers the…",NA
QA Automation Engineer,"Bengaluru, Karnataka","Artificial intelligence: 4 years (Preferred).
Designing and developing test automation scripts.
Researching issues in software through testing.","₹6,00,000 - ₹15,00,000 a year"
Change and Configuration Manager,"New Delhi, Delhi","At IBM, our Project Managers excel by leading and coordinating a project team’s overall performance, scope, cost, and deliverables.",NA
IoT Engineer,"Remote in Bhubaneshwar, Orissa","Must have knowledge on IOT development especially in controller design,pcb design,rasberry pie and Arduino with machine learning and artificial intelligence as…","₹10,000 - ₹30,000 a month"
newData Scientist 2,"Hyderabad, Telangana+1 location","Work in a multi-disciplinary, product focussed, cross-functional team to deliver business value from artificial intelligence technologies.",NA
newSolution Analyst,"Thane, Maharashtra","Ability to learn and implement multiple technologies required for Software development.
Develop high performance mobile and web applications in Artificial…","₹4,00,000 a year"
ETL QA Tester,"Hyderabad, Telangana","The successful candidate will have solid experience with SQL Queries and Good Knowledge on Software Test Life Cycle.
Must have Talend Open Studio Experience.","₹5,00,000 - ₹12,00,000 a year"
Splunk Administrator,"Hyderabad, Telangana","2+ years Splunk experience building dashboards and performing analytical searches within the Splunk application.
Employment Type: Full Time, Permanent.",NA
Opening for Software Developer at RWaltz Software,"Nashik, Maharashtra","Salary is no bar for deserving candidate.
Knowledge of Coding Languages ( e. g C++, Java, JavaScript ) and frameworks systems (Angular JS, Git).",NA
newDeputy Manager,"Noida, Uttar Pradesh","We engineer business outcomes for Fortune 500 companies and digital natives in the technology, healthcare, insurance, travel, telecom, and retail & CPG…",NA
Program Engineer,"Greater Noida, Uttar Pradesh","Area of computer science, including information retrieval, artificial intelligence, natural language processing, distributed.",NA
NLP Engineer,"Mumbai, Maharashtra",Accrete was launched in 2017 on the back of over a decade of R&D pertaining to the problem of getting a machine to perform cognitive tasks accurately without…,NA
newSterling B2B,"Bengaluru, Karnataka","To think along with clients and sell.
As part of AI Apps expert labs , you will have the opportunity to be part of a team of IBM experts and deliver expert…",NA
newBlueplanet- Orchestration Professional,"Hyderabad, Telangana",Atleast 2 - 5 years of design / development / deployment experience in any network orchestration platforms or python / Java with networking knowledge.,NA
Senior Project Manager,"Gurgaon, Haryana+1 location","We engineer business outcomes for Fortune 500 companies and digital natives in the technology, healthcare, insurance, travel, telecom, and retail & CPG…",NA
newBlueplanet- Orchestration Professional,"Hyderabad, Telangana",Atleast 2 - 5 years of design / development / deployment experience in any network orchestration platforms or python / Java with networking knowledge.,NA
Senior Project Manager,"Gurgaon, Haryana+1 location","We engineer business outcomes for Fortune 500 companies and digital natives in the technology, healthcare, insurance, travel, telecom, and retail & CPG…",NA
Manufacturing Engineer,"Hyderabad, Telangana","In a Fab that invests heavily in automation, and AI, you will be responsible for planning and implementing daily operations that line up with business…",NA
Sr. Data Scientist,Remote,"In this role you will be working on the cutting-edge machine learning models used for underwriting, collection management, loss forecasting, and fraud detection…",NA
newIT Client Service Manager,"Bengaluru, Karnataka","To think along with clients and sell.
Account Focused, an IT Client Service Manager (CSM) is accountable for IT Service Delivery on CPS accounts on a client…",NA
newApplication Developer: Microsoft Middleware,"Bengaluru, Karnataka+1 location","Evaluating and selecting appropriate tools to improve our teams’ productivity.
Modernize our portfolio via migrating / rebuilding current applications on the…",NA
MDR Security Analyst,"Delhi, Delhi","Proactively monitor and review threats and suspicious events from customers participating in the service.
Investigate alerts, triage, deep dive, and come up…",NA
Computer Scientist - II,"Noida, Uttar Pradesh","It is built natively on the Adobe Experience Platform and combines a unified, real-time customer profile, an API-first open framework, centralized offer…",NA
newConsultant/ Sr. Consultant - IP (Computer Science),"Noida, Uttar Pradesh","Associate/Senior Associate will work on various projects such as Prior-art Searching (Patentability/Validity/Invalidity), Infringement Analysis, White Space…",NA
Application Architect: Business Intelligence,"Gurgaon, Haryana+1 location","Information Architecture should include databases (relational, hierarchical and object-oriented), file systems and storage management, as well as document…",NA
Data Scientist,"Mumbai, Maharashtra","Translate real-world observations into clinical actionable insights using precision medicine, phenotyping, machine learning, artificial intelligence.",NA
Segment Leader- Data & AI- AI,"New Delhi, Delhi","Help Client drive Business Outcomes using Data, AI and Automation.
Solution Specialist for IBM’s Data & AI portfolio (AI) - is responsible for working with…",NA
newSoftware Tester,"Bengaluru, Karnataka","To think along with clients and sell.
We are seeking a Systems Verification Test Software Engineer to drive solution enablement for newly announced – IBM Z and…",NA
Tools and Security Automation Engineer,Remote,"The Tools and Security Automation Engineer is a member of the Security Engineering team within Oportun's Information Security team focused on helping Design,…",NA
Data Scientist,"Mumbai, Maharashtra","Work on the data processes, machine learning, and artificial intelligence development using different tools.
Candidates must have knowledge of Deep Learning and…",NA
Tools and Security Automation Engineer,Remote,"The Tools and Security Automation Engineer is a member of the Security Engineering team within Oportun's Information Security team focused on helping Design,…",NA
Data Scientist,"Mumbai, Maharashtra","Work on the data processes, machine learning, and artificial intelligence development using different tools.
Candidates must have knowledge of Deep Learning and…",NA
Machine Learning Engineer,"Surat, Gujarat","Prior knowledge of Python is desired.
*Key Skills: Machine Learning, C, C++, Matlab, Python, OpenCV, Open GL, jupyter notebook*.
Total work: 1 year (Preferred).","₹15,000 - ₹30,000 a month"
newData Scientist,"Pune, Maharashtra","We strongly believe in data driven science, reinforced with artificial intelligence and machine learning to build the next-gen autonomous credit risk models…",NA
